date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:46	13642/13642	---M--	200	added ('OK')	image/jpeg	etag:%22354a-59ef6518-86149450edba53d8;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style2/12.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style2/12.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-2.html)
21:29:47	5657/5657	---M--	200	added ('OK')	image/jpeg	etag:%221619-59ef657a-50ad3060149643e6;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/1.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/1.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-3.html)
21:29:48	9070/9070	---M--	200	added ('OK')	image/jpeg	etag:%22236e-59ef657c-9ef997658e5c2ffb;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/2.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/2.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-3.html)
21:29:49	6848/6848	---M--	200	added ('OK')	image/jpeg	etag:%221ac0-59ef657e-d34f015d4b4df4fa;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/3.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/3.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-3.html)
21:29:50	12378/12378	---M--	200	added ('OK')	image/jpeg	etag:%22305a-59ef656e-3d01a916bf342058;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/4.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/4.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-3.html)
21:29:51	6596/6596	---M--	200	added ('OK')	image/jpeg	etag:%2219c4-59ef6570-f63c404b3f11193b;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/5.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/5.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-3.html)
21:29:52	6647/6647	---M--	200	added ('OK')	image/jpeg	etag:%2219f7-59ef6576-743a4dbbacd76870;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/7.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/7.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-3.html)
21:29:53	9131/9131	---M--	200	added ('OK')	image/jpeg	etag:%2223ab-59ef6574-71fb92a3405fa25f;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/6.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/6.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-3.html)
21:29:54	5044/5044	---M--	200	added ('OK')	image/jpeg	etag:%2213b4-59ef6578-acc2cce37ebbdd14;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/8.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style3/8.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-3.html)
21:29:55	15450/15450	---M--	200	added ('OK')	image/jpeg	etag:%223c5a-59ef65ac-e38922fe84a52821;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/1.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/1.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:29:57	12306/12306	---M--	200	added ('OK')	image/jpeg	etag:%223012-59ef65ae-8507082538653a59;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/2.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/2.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:29:58	17613/17613	---M--	200	added ('OK')	image/jpeg	etag:%2244cd-59ef65b0-d2ed47f86f3fa1cf;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/3.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/3.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:30:00	21874/21874	---M--	200	added ('OK')	image/jpeg	etag:%225572-59ef65b0-c954e118bb7aede2;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/4.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/4.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:30:00	18477/18477	---M--	200	added ('OK')	image/jpeg	etag:%22482d-59ef65b2-56b2d486fcd6ef5e;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/5.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/5.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:30:02	15078/15078	---M--	200	added ('OK')	image/jpeg	etag:%223ae6-59ef65b2-3c159c0a8e439531;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/6.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/6.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:30:04	27582/27582	---M--	200	added ('OK')	image/jpeg	etag:%226bbe-59ef65b4-23f5ae8e43c951b3;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/7.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/7.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:30:06	18185/18185	---M--	200	added ('OK')	image/jpeg	etag:%224709-59ef65b4-7372bd3a5f496995;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/8.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/8.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:30:06	9514/9514	---M--	200	added ('OK')	image/jpeg	etag:%22252a-59ef65b4-5aa110a7636619c2;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/9.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/9.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:30:08	17707/17707	---M--	200	added ('OK')	image/jpeg	etag:%22452b-59ef65b6-75e8f2bed6db9255;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/10.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/10.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:30:10	17901/17901	---M--	200	added ('OK')	image/jpeg	etag:%2245ed-59ef65aa-6a1c8fa440f7e838;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/11.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/11.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:30:10	10748/10748	---M--	200	added ('OK')	image/jpeg	etag:%2229fc-59ef65ac-6c67fca3a3c7d9b6;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/12.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style4/12.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-4.html)
21:30:12	15295/15295	---M--	200	added ('OK')	image/jpeg	etag:%223bbf-59ef6606-87d9aaae63216c97;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/1.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/1.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-5.html)
21:30:12	17935/17935	---M--	200	added ('OK')	image/jpeg	etag:%22460f-59ef6606-e515d97ef5de2e00;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/2.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/2.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-5.html)
21:30:14	17454/17454	---M--	200	added ('OK')	image/jpeg	etag:%22442e-59ef6606-cf2692682ddab3fd;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/3.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/3.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-5.html)
21:30:16	11502/11502	---M--	200	added ('OK')	image/jpeg	etag:%222cee-59ef6608-20d94c5aa5dcec43;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/4.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/4.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-5.html)
21:30:18	21975/21975	---M--	200	added ('OK')	image/jpeg	etag:%2255d7-59ef6602-34c4eef593a2c074;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/5.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/5.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-5.html)
21:30:18	11703/11703	---M--	200	added ('OK')	image/jpeg	etag:%222db7-59ef6604-50e1c90f5a571b4;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/7.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/7.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-5.html)
21:30:20	20257/20257	---M--	200	added ('OK')	image/jpeg	etag:%224f21-59ef6604-71bb39c0503d4122;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/6.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/6.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-5.html)
21:30:20	14733/14733	---M--	200	added ('OK')	image/jpeg	etag:%22398d-59ef6604-f6aa69662f971b42;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/8.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/4/style5/8.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-4-style-5.html)
21:30:22	13949/13949	---M--	200	added ('OK')	image/jpeg	etag:%22367d-5af31db0-22049daee237869d;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/m1.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/m1.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-details.html)
21:30:22	10028/10028	---M--	200	added ('OK')	image/jpeg	etag:%22272c-5af31db0-9e9aa43bd3c21b3c;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/m2.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/m2.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-details.html)
21:30:24	14247/14247	---M--	200	added ('OK')	image/jpeg	etag:%2237a7-5af31db0-b250db9f957d76c8;;;%22	http://regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/m3.jpg	/home/griffith/websites/Test/regaltheme.com/tf/multi/minipo/minipo/assets/img/portfolio/details/m3.jpg	(from http://regaltheme.com/tf/multi/minipo/minipo/portfolio-details.html)
